name,equipment,primary_muscle,secondary_muscle,source,sourceType
21s Bicep Curl,Barbell,Biceps,None,None,None
Ab Scissors,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/28931101-Scissors-(advanced)-(female)_small.jpg,image
Ab Wheel,Other,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08571201-Wheel-Rollout_Waist.mp4,video
Aerobics,None,Cardio,None,None,None
Air Bike,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/38931101-Assault-Bike-Run_Cardio_small.jpg,image
Arnold Press (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02871201-Dumbbell-Arnold-Press-II_Shoulders.mp4,video
Around The World,Dumbbell,Chest,"Upper Back, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02881201-Dumbbell-Around-Pullover_Chest.mp4,video
Assisted Pistol Squats,None,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/17621101-Single-Leg-Squat-with-Support-(pistol)_Thighs_small.jpg,image
Back Extension (Hyperextension),Machine,Lower Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/18601201-Hyperextension-(VERSION-2)_Hips.mp4,video
Back Extension (Machine),Machine,Lower Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05731201-Lever-Back-Extension_Waist.mp4,video
Back Extension (Weighted Hyperextension),Machine,Lower Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12341101-Plate-Hyperextension_Hips_small.jpg,image
Ball Slams,Other,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13541101-Medicine-Ball-Overhead-Slam_Back_small.jpg,image
Band Pullaparts,Resistance Band,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15031101-Band-Pull-Apart_Shoulders_small.jpg,image
Battle Ropes,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01281201-Battling-Ropes.mp4,video
Behind the Back Bicep Wrist Curl (Barbell),Barbell,Forearms,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01041101-Barbell-Standing-Back-Wrist-Curl_Forearms_small.jpg,image
Bench Dip,Other,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13991201-Bench-dip-on-floor_Upper-Arms.mp4,video
Bench Press (Barbell),Barbell,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00251201-Barbell-Bench-Press_Chest.mp4,video
Bench Press (Cable),Machine,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01511201-Cable-Bench-Press_Chest.mp4,video
Bench Press (Dumbbell),Dumbbell,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02891201-Dumbbell-Bench-Press_Chest.mp4,video
Bench Press (Smith Machine),Machine,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07481201-Smith-Bench-Press_Chest.mp4,video
Bench Press - Close Grip (Barbell),Barbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms.mp4,video
Bench Press - Wide Grip (Barbell),Barbell,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01221201-Barbell-Wide-Bench-Press_Chest.mp4,video
Bent Over Row (Band),Resistance Band,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08921101-Band-bent_Back-over-row_Back_small.jpg,image
Bent Over Row (Barbell),Barbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00271201-Barbell-Bent-Over-Row_Back.mp4,video
Bent Over Row (Dumbbell),Dumbbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02931201-Dumbbell-Bent-Over-Row_Back.mp4,video
Bicep Curl (Barbell),Barbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4,video
Bicep Curl (Cable),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01561201-Cable-Curl_Upper-Arms.mp4,video
Bicep Curl (Dumbbell),Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02941201-Dumbbell-Biceps-Curl_Upper-Arms.mp4,video
Bicep Curl (Machine),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10321101-Lever-Alternate-Biceps-Curl_Upper-Arms_small.jpg,image
Bicep Curl (Suspension),Suspension,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10701101-Suspender-Arm-Curl_Upper-Arms_small.jpg,image
Bicycle Crunch,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00031201-air-bike-m_waist.mp4,video
Bicycle Crunch Raised Legs,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01471201-Bycicle-Twisting-Crunch_Waist.mp4,video
Bird Dog,None,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12411101-Bird-Dog-male_Back_small.jpg,image
Box Jump,Other,Quadriceps,"Hamstrings, Glutes, Calves",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05091101-Jump-Box_Plyometrics_small.jpg,image
Box Squat (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00261101-Barbell-Bench-Squat_Hips_small.jpg,image
Boxing,None,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22731101-Boxing-Right-Cross_small.jpg,image
Bulgarian Split Squat,Dumbbell,Quadriceps,"Glutes, Hamstrings",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small.jpg,image
Burpee,None,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11601201-Burpee_Cardio.mp4,video
Burpee Over the Bar,None,Full Body,None,None,None
Butterfly (Pec Deck),Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10301201-Lever-Pec-Deck-Fly_Chest.mp4,video
Cable Core Palloff Press,Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12021201-Cable-horizontal-Pallof-Press_waist.mp4,video
Cable Crunch,Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4,video
Cable Fly Crossovers,Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12691201-Cable-Standing-Up-Straight-Crossovers_Chest.mp4,video
Cable Pull Through,Machine,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12061201-Cable-pull-through_hips.mp4,video
Cable Twist (Down to up),Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12071201-Cable-twist-(down-up)_waist.mp4,video
Cable Twist (Up to down),Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08621201-Cable-twist-(up-down)_Waist.mp4,video
Calf Extension (Machine),Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23151201-Lever-Rotary-Calf_Calves.mp4,video
Calf Press (Machine),Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07381201-Sled-45-Calf-Press_Calves.mp4,video
Chest Dip,Machine,Chest,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02511201-Chest-Dip_Chest.mp4,video
Chest Dip (Assisted),Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00091201-Assisted-Chest-Dip-(kneeling)_Chest.mp4,video
Chest Dip (Weighted),Machine,Chest,Triceps,None,None
Chest Fly (Band),Resistance Band,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09131101-Band-middle-fly_Chest_small.jpg,image
Chest Fly (Dumbbell),Dumbbell,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03081201-Dumbbell-Fly_Chest.mp4,video
Chest Fly (Machine),Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05961201-Lever-Seated-Fly_Chest.mp4,video
Chest Fly (Suspension),Suspension,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10741101-Suspender-Fly_Chest_small.jpg,image
Chest Press (Band),Resistance Band,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09201101-Band-standing-chest-press_Chest_small.jpg,image
Chest Press (Machine),Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05771201-Lever-Chest-Press_Chest.mp4,video
Chest Supported Incline Row (Dumbbell),Dumbbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03271201-Dumbbell-Incline-Row_Back.mp4,video
Chest Supported Reverse Fly (Dumbbell),Dumbbell,Upper Back,Shoulders,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03831201-Dumbbell-Reverse-Fly_Shoulders.mp4,video
Chest Supported Y Raise (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/35411201-Dumbbell-Incline-Y-Raise_Shoulders_.mp4,video
Chin Up,Machine,Lats,"Upper Back, Biceps",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13261201-Chin-Up_Back.mp4,video
Chin Up (Assisted),Machine,Lats,"Upper Back, Biceps",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05721301-assisted-chin-up_small.jpg,image
Chin Up (Weighted),Machine,Lats,"Upper Back, Biceps",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29871101-Weighted-Close-Grip-Chin-up-on-Dip-Cage_Back_small.jpg,image
Clamshell,Resistance Band,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21501101-Resistance-Band-Clam_Hips_small.jpg,image
Clap Push Ups,None,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12731101-Clap-Push-Up_Plyometrics_Chest_small.jpg,image
Clean,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15211101-Barbell-Hang-Clean-Below-the-Knees_Weightlifts_small.jpg,image
Clean and Jerk,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00281201-Barbell-Clean-and-Press_Shoulders.mp4,video
Clean and Press,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00281201-Barbell-Clean-and-Press_Shoulders.mp4,video
Clean Pull,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15171101-Barbell-Clean-Pull_Weightlifts_small.jpg,image
Climbing,None,Cardio,None,None,None
Concentration Curl,Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02971201-Dumbbell-Concentration-Curl_Upper-Arms.mp4,video
Cross Body Hammer Curl,Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02981101-Dumbbell-Cross-Body-Hammer-Curl_Forearms_small.jpg,image
Crunch,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02741201-Crunch-Floor-m_waist.mp4,video
Crunch (Machine),Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05951201-Lever-Seated-Crunch-(chest-pad).mp4,video
Crunch (Weighted),None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08321101-Weighted-Crunch_waist_small.jpg,image
Curtsy Lunge (Dumbbell),Dumbbell,Quadriceps,Glutes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08811101-Dumbbell-Curtsey-lunge_Thighs_small.jpg,image
Cycling,Machine,Cardio,None,None,None
Dead Bug,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02761101-Dead-Bug_waist_small.jpg,image
Dead Hang,None,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/50551101-Dead-Hang-Stretch_Stretching_small.jpg,image
Deadlift (Band),Resistance Band,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08951101-Band-deadlift_Hips_small.jpg,image
Deadlift (Barbell),Barbell,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00321201-Barbell-Deadlift_Hips-FIX.mp4,video
Deadlift (Dumbbell),Dumbbell,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04321201-Dumbbell-Stiff-Leg-Deadlift_Waist.mp4,video
Deadlift (Smith Machine),Machine,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07521201-Smith-Deadlift_Hips.mp4,video
Deadlift (Trap bar),Barbell,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08111201-Trap-Bar-Deadlift_Thighs.mp4,video
Deadlift High Pull,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11991201-Sumo-Deadlift-High-Pull_Thighs_Shoulders.mp4,video
Decline Bench Press (Barbell),Barbell,Chest,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00331201-Barbell-Decline-Bench-Press_Chest.mp4,video
Decline Bench Press (Dumbbell),Dumbbell,Chest,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03011201-Dumbbell-Decline-Bench-Press_Chest.mp4,video
Decline Bench Press (Machine),Machine,Chest,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13001201-Lever-Decline-Chest-Press_Chest-FIX_.mp4,image
Decline Bench Press (Smith Machine),Machine,Chest,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07531201-Smith-Decline-Bench-Press_Chest.mp4,video
Decline Chest Fly (Dumbbell),Dumbbell,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03021201-Dumbbell-Decline-Fly_Chest.mp4,video
Decline Crunch,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4,video
Decline Crunch (Weighted),None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21301201-Weighted-decline-crunch_Waist.mp4,video
Decline Push Up,Other,Chest,"Shoulders, Triceps",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02791201-Decline-Push-Up_Chest.mp4,video
Diamond Push Up,None,Triceps,Chest,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02831101-Diamond-Push-up_Upper-Arms_small.jpg,image
Downward Dog,None,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09491101-Downward-Facing-Dog-Adho-Mukha-Svanasana_small.jpg,image
Drag Curl,Barbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00381201-Barbell-Drag-Curl_Upper-Arms.mp4,video
Dragon Flag,None,Abdominals,None,None,None
Dragonfly,None,Abdominals,None,None,None
Dumbbell Row,Dumbbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02921201-Dumbbell-Bent-over-Row_Back.mp4,video
Dumbbell Snatch,Dumbbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/38881101-Dumbbell-One-Arm-Snatch_small.jpg,image
Dumbbell Squeeze Press,Dumbbell,Chest,None,None,None
Dumbbell Step Up,Dumbbell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04311101-Dumbbell-Step-up_Hips_small.jpg,image
Elbow to Knee,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23121201-Lying-Elbow-to-Knee_Waist.mp4,video
Elliptical Trainer,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21921201-Elliptical-Machine-Walk_Cardio.mp4,video
EZ Bar Biceps Curl,Barbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04471201-EZ-Barbell-Curl_Upper-Arms.mp4,video
Face Pull,Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08961101-Band-face-pull_Shoulders_small.jpg,image
Farmers Walk,Other,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21331201-Farmers-walk_Cardio.mp4,video
Fire Hydrants,None,Glutes,None,None,None
Floor Press (Barbell),Barbell,Chest,None,None,None
Floor Press (Dumbbell),Dumbbell,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/36681101-Dumbbell-Lying-on-Floor-Chest-Press_Chest_small.jpg,image
Floor Triceps Dip,None,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08151201-Triceps-Dips-Floor_Upper-Arms.mp4,video
Flutter Kicks,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12441201-Flutter-Kicks-(version-3)_Hips.mp4,video
Frog Jumps,None,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/30881101-Frog-Hops-(male)_Plyometrics_small.jpg,image
Frog Pumps (Dumbbell),Dumbbell,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/31821101-Weighted-Frog-Pump_Hips_small.jpg,image
Front Lever Hold,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/32961101-Front-Lever_Waist_small.jpg,image
Front Lever Raise,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/32961101-Front-Lever_Waist_small.jpg,image
Front Raise (Band),Resistance Band,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09781101-Band-front-raise_Shoulders_small.jpg,image
Front Raise (Barbell),Barbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00411101-Barbell-Front-Raise_Shoulders.mp4,video
Front Raise (Cable),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01621201-Cable-Front-Raise_Shoulders.mp4,video
Front Raise (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03101201-Dumbbell-Front-Raise_Shoulders.mp4,video
Front Raise (Suspension),Suspension,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10751101-Suspender-Front-Raise_Shoulders_small.jpg,image
Front Squat,Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00421201-Barbell-Front-Squat_Hips.mp4,video
Full Squat,Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00431201-Barbell-Full-Squat_Thighs.mp4,video
Glute Bridge,None,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06681101-Rear-Decline-Bridge_Waist_small.jpg,image
Glute Ham Raise,Machine,Hamstrings,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/31931101-Glute-Ham-Raise_Thighs_small.jpg,image
Glute Kickback (Machine),Machine,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10371201-Lever-Standing-Rear-Kick_Hips.mp4,video
Glute Kickback on Floor,None,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14741201-Bent-Leg-Kickback-(kneeling)_Hips.mp4,video
Goblet Squat,Dumbbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22811201-Dumbbell-Goblet-Squat-(female)_Thighs.mp4,video
Good Morning (Barbell),Barbell,Hamstrings,"Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00441201-Barbell-Good-Morning_Thighs.mp4,video
Gorilla Row (Kettlebell),Kettlebell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/72301201-Kettlebell-Gorilla-Row-(male)_Back_.mp4,video
Hack Squat,Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00461201-Barbell-Hack-Squat_Hips.mp4,video
Hack Squat (Machine),Machine,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07431201-Sled-Hack-Squat_Hips.mp4,video
Hammer Curl (Band),Resistance Band,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08971101-Band-hammer-curl_Forearms_small.jpg,image
Hammer Curl (Cable),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01661201-Cable-Hammer-Curl_Forearm.mp4,video
